,success,more blue_collar associations,more expensive associations,more warm associations,more unnatürlich associations,more electric associations,more valuable associations,more cold associations,more indulgent associations,more inside associations,more cruel associations,more teaching associations,more sustainable associations,more TheLover associations,more TheWizard associations,more blunt associations,more TheCarer associations,more polite associations,more career associations,more appetitlich associations
success,1.0,0.965037087654228,0.9149015322243182,0.8896573318366578,0.8623828064880215,0.835094479790315,0.8272219647332824,0.7864266400328946,0.7834528297243292,0.775818204886923,-0.7032276622157863,-0.7133267830528219,-0.7279842458936429,-0.7279842458936429,-0.7282987947239478,-0.753512283284739,-0.753512283284739,-0.7856271766418967,-0.8315511699519006,-0.8480698165820412
more blue_collar associations,0.965037087654228,1.0,0.9576968369236072,0.9380132833626488,0.833383920854464,0.7079990560060888,0.8342723148089848,0.8334204747595758,0.7596098220247735,0.7156856034646083,-0.5163613308679164,-0.8104149434964799,-0.6086878637835015,-0.6086878637835015,-0.6434568107140721,-0.7240528197149767,-0.7240528197149767,-0.6917707556659686,-0.7274474694291363,-0.7623985259869113
more expensive associations,0.9149015322243182,0.9576968369236072,1.0,0.9793507658572428,0.8389519833004728,0.7456504135700356,0.8576064281561383,0.9448247632673692,0.8299194093568201,0.7336807751682333,-0.41053836196575,-0.7853376404542196,-0.4517528941012161,-0.4517528941012161,-0.665397223253833,-0.7728669957978654,-0.7728669957978654,-0.6767358937420332,-0.5962755366144361,-0.7374542205817837
more warm associations,0.8896573318366578,0.9380132833626488,0.9793507658572428,1.0,0.9037191508433349,0.7237080339895334,0.9373179234596557,0.8962166309481602,0.9046880937263502,0.8248950938289384,-0.357121378792295,-0.8807331576895016,-0.44361402772686465,-0.44361402772686465,-0.6981600520294788,-0.7936770807068642,-0.7936770807068642,-0.7565679699328165,-0.5812751561619685,-0.7827995092524629
more unnatürlich associations,0.8623828064880215,0.833383920854464,0.8389519833004728,0.9037191508433349,1.0,0.8379324668807682,0.9762042728462299,0.7310134323941548,0.9471087455760091,0.9742466142000477,-0.5601978434185442,-0.8452393355494694,-0.5079280088681348,-0.5079280088681348,-0.6905925800063828,-0.8963046235428385,-0.8963046235428385,-0.9581050859179322,-0.6149582393787648,-0.9594338065127987
more electric associations,0.835094479790315,0.7079990560060888,0.7456504135700356,0.7237080339895334,0.8379324668807682,1.0,0.7365803403920892,0.7405135695189644,0.777618369894059,0.8099359426758598,-0.8180192694724615,-0.4419320623264757,-0.5132415583063082,-0.5132415583063082,-0.6364744144603997,-0.8760228108829707,-0.8760228108829707,-0.852418994437622,-0.6172867706018735,-0.9099816143734049
more valuable associations,0.8272219647332824,0.8342723148089848,0.8576064281561383,0.9373179234596557,0.9762042728462299,0.7365803403920892,1.0,0.7314286432761429,0.9744787751871424,0.9591635132962236,-0.39737319124457543,-0.9149920715542995,-0.4859013744807271,-0.4859013744807271,-0.743493269316625,-0.8126274780647865,-0.8126274780647865,-0.9058084932811283,-0.5940045520540072,-0.8776339120982051
more cold associations,0.7864266400328946,0.8334204747595758,0.9448247632673692,0.8962166309481602,0.7310134323941548,0.7405135695189644,0.7314286432761429,1.0,0.7358016745192785,0.6124879726717254,-0.3371010934897544,-0.6155403188979989,-0.1959069926836356,-0.1959069926836356,-0.49563643286025977,-0.7967608561120422,-0.7967608561120422,-0.5515106371790437,-0.3612222900641492,-0.6446218064238541
more indulgent associations,0.7834528297243292,0.7596098220247735,0.8299194093568201,0.9046880937263502,0.9471087455760091,0.777618369894059,0.9744787751871424,0.7358016745192785,1.0,0.9615485549752433,-0.39218179278730536,-0.8208345792324259,-0.46484188666897114,-0.46484188666897114,-0.8145894678194556,-0.7879506120506055,-0.7879506120506055,-0.9005850166978787,-0.5728309545297318,-0.8515478681927208
more inside associations,0.775818204886923,0.7156856034646083,0.7336807751682333,0.8248950938289384,0.9742466142000477,0.8099359426758598,0.9591635132962236,0.6124879726717254,0.9615485549752433,1.0,-0.5324332224684964,-0.7939506295152143,-0.5220277829076738,-0.5220277829076738,-0.75040297058779,-0.8262769339076033,-0.8262769339076033,-0.9819872620515498,-0.6070566905129574,-0.9369787213914756
more cruel associations,-0.7032276622157863,-0.5163613308679164,-0.41053836196575,-0.357121378792295,-0.5601978434185442,-0.8180192694724615,-0.39737319124457543,-0.3371010934897544,-0.39218179278730536,-0.5324332224684964,1.0,0.14207640916649525,0.6922507475034961,0.6922507475034961,0.4331947721316507,0.5885758452844735,0.5885758452844735,0.6658702118767746,0.7171595678623768,0.7486818708593432
more teaching associations,-0.7133267830528219,-0.8104149434964799,-0.7853376404542196,-0.8807331576895016,-0.8452393355494694,-0.4419320623264757,-0.9149920715542995,-0.6155403188979989,-0.8208345792324259,-0.7939506295152143,0.14207640916649525,1.0,0.39064710228964783,0.39064710228964783,0.5683977014925704,0.6387143561033662,0.6387143561033662,0.715308372583253,0.4854551075956203,0.6885770524693777
more sustainable associations,-0.7279842458936429,-0.6086878637835015,-0.4517528941012161,-0.44361402772686465,-0.5079280088681348,-0.5132415583063082,-0.4859013744807271,-0.1959069926836356,-0.46484188666897114,-0.5220277829076738,0.6922507475034961,0.39064710228964783,1.0,1.0,0.771680708415593,0.2149656038976572,0.2149656038976572,0.577518172801244,0.9851210154881644,0.548727417254773
more TheLover associations,-0.7279842458936429,-0.6086878637835015,-0.4517528941012161,-0.44361402772686465,-0.5079280088681348,-0.5132415583063082,-0.4859013744807271,-0.1959069926836356,-0.46484188666897114,-0.5220277829076738,0.6922507475034961,0.39064710228964783,1.0,1.0,0.771680708415593,0.2149656038976572,0.2149656038976572,0.577518172801244,0.9851210154881644,0.548727417254773
more TheWizard associations,-0.7282987947239478,-0.6434568107140721,-0.665397223253833,-0.6981600520294788,-0.6905925800063828,-0.6364744144603997,-0.743493269316625,-0.49563643286025977,-0.8145894678194556,-0.75040297058779,0.4331947721316507,0.5683977014925704,0.771680708415593,0.771680708415593,1.0,0.3898284876861381,0.3898284876861381,0.7058484011927298,0.8186678977510199,0.6134639910281438
more blunt associations,-0.753512283284739,-0.7240528197149767,-0.7728669957978654,-0.7936770807068642,-0.8963046235428385,-0.8760228108829707,-0.8126274780647865,-0.7967608561120422,-0.7879506120506055,-0.8262769339076033,0.5885758452844735,0.6387143561033662,0.2149656038976572,0.2149656038976572,0.3898284876861381,1.0,1.0,0.8371985202473249,0.347365324787583,0.9151325475662921
more TheCarer associations,-0.753512283284739,-0.7240528197149767,-0.7728669957978654,-0.7936770807068642,-0.8963046235428385,-0.8760228108829707,-0.8126274780647865,-0.7967608561120422,-0.7879506120506055,-0.8262769339076033,0.5885758452844735,0.6387143561033662,0.2149656038976572,0.2149656038976572,0.3898284876861381,1.0,1.0,0.8371985202473249,0.347365324787583,0.9151325475662921
more polite associations,-0.7856271766418967,-0.6917707556659686,-0.6767358937420332,-0.7565679699328165,-0.9581050859179322,-0.852418994437622,-0.9058084932811283,-0.5515106371790437,-0.9005850166978787,-0.9819872620515498,0.6658702118767746,0.715308372583253,0.577518172801244,0.577518172801244,0.7058484011927298,0.8371985202473249,0.8371985202473249,1.0,0.6492368910353737,0.9729352889578191
more career associations,-0.8315511699519006,-0.7274474694291363,-0.5962755366144361,-0.5812751561619685,-0.6149582393787648,-0.6172867706018735,-0.5940045520540072,-0.3612222900641492,-0.5728309545297318,-0.6070566905129574,0.7171595678623768,0.4854551075956203,0.9851210154881644,0.9851210154881644,0.8186678977510199,0.347365324787583,0.347365324787583,0.6492368910353737,1.0,0.6382709822770326
more appetitlich associations,-0.8480698165820412,-0.7623985259869113,-0.7374542205817837,-0.7827995092524629,-0.9594338065127987,-0.9099816143734049,-0.8776339120982051,-0.6446218064238541,-0.8515478681927208,-0.9369787213914756,0.7486818708593432,0.6885770524693777,0.548727417254773,0.548727417254773,0.6134639910281438,0.9151325475662921,0.9151325475662921,0.9729352889578191,0.6382709822770326,1.0
