,success,more innovative associations,more innovative_rachel associations,more math associations,more power associations,more design associations,more alive associations,more science associations,more power associations,more TheCreator associations,more female associations,more friendship associations,more family associations,more white_names associations,more white_names associations,more show associations,more see associations,more show associations,more performance associations,more performance associations
success,1.0,0.14695539313191408,0.14695539313191408,0.12356474616147681,0.11590896248231249,0.10814765358902895,0.0966796614149801,0.09463197367255194,0.09116444142762647,0.08956625508958801,-0.08766284776293563,-0.08825079831143494,-0.08889866519914984,-0.09428871526446697,-0.10379899960268894,-0.1055841999033357,-0.10577767278531285,-0.11491415297041233,-0.11597600786918695,-0.16147399921603087
more innovative associations,0.14695539313191408,1.0,1.0,-0.03039757570019965,0.2853167552062765,0.44227974157450667,0.3534021853907335,0.42154679722809996,0.20846351252508222,0.29122253618360017,-0.39335526998674364,-0.41020263909415183,-0.31507466900446507,-0.2177731709909498,-0.14014554281855154,-0.1779521027546881,-0.2741378721782563,-0.03944031041436423,-0.1334593265311996,-0.23248808558983775
more innovative_rachel associations,0.14695539313191408,1.0,1.0,-0.03039757570019965,0.2853167552062765,0.44227974157450667,0.3534021853907335,0.42154679722809996,0.20846351252508222,0.29122253618360017,-0.39335526998674364,-0.41020263909415183,-0.31507466900446507,-0.2177731709909498,-0.14014554281855154,-0.1779521027546881,-0.2741378721782563,-0.03944031041436423,-0.1334593265311996,-0.23248808558983775
more math associations,0.12356474616147681,-0.03039757570019965,-0.03039757570019965,1.0,0.36887241298513995,0.12928793044377956,0.3334831345162273,0.296498804854124,0.2487683012916014,0.29876384981011833,0.2691919270333531,0.2932961987969608,0.3432341339949714,-0.1486454789273698,0.09384796588495824,0.0871603772415288,0.19274391553822454,-0.14944028610196614,-0.23014133237592269,-0.21585127816512223
more power associations,0.11590896248231249,0.2853167552062765,0.2853167552062765,0.36887241298513995,1.0,0.3409287443461761,0.37636355309785097,0.3251320906876308,0.314509683287936,0.4829372831408273,0.19431889984114145,0.08241329504615699,0.2144941495308264,-0.29592513375470064,-0.16716155862069476,0.050243778754795625,0.06200810413195262,-0.13817618768576242,-0.18346098293245994,-0.33143143383343393
more design associations,0.10814765358902895,0.44227974157450667,0.44227974157450667,0.12928793044377956,0.3409287443461761,1.0,0.533101898124238,0.3824215936499364,0.17739031467275856,0.5613337573660544,-0.059294550537762156,-0.014507151777872825,-0.010518852572003905,-0.288342467623088,-0.17738896121756664,0.08081063131250764,0.0743657730847113,-0.022846170251868414,-0.17709667040563168,-0.24264501873987362
more alive associations,0.0966796614149801,0.3534021853907335,0.3534021853907335,0.3334831345162273,0.37636355309785097,0.533101898124238,1.0,0.5715489214188978,0.27832667748373363,0.5991816743748821,0.082749209380404,0.15157249032417525,0.14194741017095103,-0.14925527834639335,-0.08875930063788996,0.11169957118723041,0.16781117918308902,0.015499142361876644,-0.13352422281746928,-0.14033811510348676
more science associations,0.09463197367255194,0.42154679722809996,0.42154679722809996,0.296498804854124,0.3251320906876308,0.3824215936499364,0.5715489214188978,1.0,0.22966531338067592,0.4970124168646939,-0.0016228601526601645,0.008920301798752705,0.06842958866190113,-0.13621381732511226,-0.059893842293098194,0.14079796682747328,0.10695355920207195,0.022047933241709197,-0.08923155310974895,-0.09267593098064286
more power associations,0.09116444142762647,0.20846351252508222,0.20846351252508222,0.2487683012916014,0.314509683287936,0.17739031467275856,0.27832667748373363,0.22966531338067592,1.0,0.18340940546670761,-0.053924958176453264,-0.1135265986979309,-0.02356689071187911,-0.34127114138668274,0.034298323750266556,-0.08696765060551713,-0.07043261892578948,0.032684686856406964,0.026217887598297393,-0.09162703842716594
more TheCreator associations,0.08956625508958801,0.29122253618360017,0.29122253618360017,0.29876384981011833,0.4829372831408273,0.5613337573660544,0.5991816743748821,0.4970124168646939,0.18340940546670761,1.0,0.2988152128395469,0.26891336548325656,0.3499836153797068,-0.22934782858829048,-0.13462517060511628,0.3535820926977267,0.3234915844866418,0.1005281075634814,-0.1110618663606321,-0.16174971705054442
more female associations,-0.08766284776293563,-0.39335526998674364,-0.39335526998674364,0.2691919270333531,0.19431889984114145,-0.059294550537762156,0.082749209380404,-0.0016228601526601645,-0.053924958176453264,0.2988152128395469,1.0,0.8146396670375881,0.9164015515312998,0.13071259009027822,0.22747598841696015,0.6340367591249096,0.7217315529645361,0.12078157786524005,0.09601042813062598,0.2114688518505286
more friendship associations,-0.08825079831143494,-0.41020263909415183,-0.41020263909415183,0.2932961987969608,0.08241329504615699,-0.014507151777872825,0.15157249032417525,0.008920301798752705,-0.1135265986979309,0.26891336548325656,0.8146396670375881,1.0,0.8081384264525704,0.10992445876867207,0.17314400524117815,0.5410077849486462,0.746415900261502,0.10334928371211903,0.015433784389689988,0.1602193707791904
more family associations,-0.08889866519914984,-0.31507466900446507,-0.31507466900446507,0.3432341339949714,0.2144941495308264,-0.010518852572003905,0.14194741017095103,0.06842958866190113,-0.02356689071187911,0.3499836153797068,0.9164015515312998,0.8081384264525704,1.0,0.048571576316824384,0.20496871839078762,0.6147562522340994,0.739666827152369,0.1176795181154399,0.05735785826803834,0.15161857307798296
more white_names associations,-0.09428871526446697,-0.2177731709909498,-0.2177731709909498,-0.1486454789273698,-0.29592513375470064,-0.288342467623088,-0.14925527834639335,-0.13621381732511226,-0.34127114138668274,-0.22934782858829048,0.13071259009027822,0.10992445876867207,0.048571576316824384,1.0,0.22278728649652896,0.16506669606072222,0.09989417281087354,0.0698742885428181,0.11370487426696553,0.2769650645674393
more white_names associations,-0.10379899960268894,-0.14014554281855154,-0.14014554281855154,0.09384796588495824,-0.16716155862069476,-0.17738896121756664,-0.08875930063788996,-0.059893842293098194,0.034298323750266556,-0.13462517060511628,0.22747598841696015,0.17314400524117815,0.20496871839078762,0.22278728649652896,1.0,0.17506425094982314,0.16925538153055844,0.17870322405492323,0.21745776440994435,0.23163586628852229
more show associations,-0.1055841999033357,-0.1779521027546881,-0.1779521027546881,0.0871603772415288,0.050243778754795625,0.08081063131250764,0.11169957118723041,0.14079796682747328,-0.08696765060551713,0.3535820926977267,0.6340367591249096,0.5410077849486462,0.6147562522340994,0.16506669606072222,0.17506425094982314,1.0,0.7582510168080653,0.34451080469406953,0.2865203974438607,0.4060100242086446
more see associations,-0.10577767278531285,-0.2741378721782563,-0.2741378721782563,0.19274391553822454,0.06200810413195262,0.0743657730847113,0.16781117918308902,0.10695355920207195,-0.07043261892578948,0.3234915844866418,0.7217315529645361,0.746415900261502,0.739666827152369,0.09989417281087354,0.16925538153055844,0.7582510168080653,1.0,0.2435031151333364,0.20858020968206611,0.3502873155149886
more show associations,-0.11491415297041233,-0.03944031041436423,-0.03944031041436423,-0.14944028610196614,-0.13817618768576242,-0.022846170251868414,0.015499142361876644,0.022047933241709197,0.032684686856406964,0.1005281075634814,0.12078157786524005,0.10334928371211903,0.1176795181154399,0.0698742885428181,0.17870322405492323,0.34451080469406953,0.2435031151333364,1.0,0.7410669963924857,0.6289086518218006
more performance associations,-0.11597600786918695,-0.1334593265311996,-0.1334593265311996,-0.23014133237592269,-0.18346098293245994,-0.17709667040563168,-0.13352422281746928,-0.08923155310974895,0.026217887598297393,-0.1110618663606321,0.09601042813062598,0.015433784389689988,0.05735785826803834,0.11370487426696553,0.21745776440994435,0.2865203974438607,0.20858020968206611,0.7410669963924857,1.0,0.7807631858595782
more performance associations,-0.16147399921603087,-0.23248808558983775,-0.23248808558983775,-0.21585127816512223,-0.33143143383343393,-0.24264501873987362,-0.14033811510348676,-0.09267593098064286,-0.09162703842716594,-0.16174971705054442,0.2114688518505286,0.1602193707791904,0.15161857307798296,0.2769650645674393,0.23163586628852229,0.4060100242086446,0.3502873155149886,0.6289086518218006,0.7807631858595782,1.0
