,success,power,weapon,cool,uncool,volkswagen,design,inaktiv,lazy,technical,outside,family,TheSage,show,unsympathisch,friendship,performance,winner,community,evaluating,collar
success,1.0,0.12803728287455396,0.09636731658372626,0.08863630234621163,0.08752383526604676,0.08624830754547083,0.08094139705604532,0.06858094111634742,0.06700988346971858,0.063504071373542,0.06250027598798935,-0.03766545938232585,-0.03816400723187847,-0.043501892870967396,-0.04474056998979308,-0.05458668122154812,-0.06432699913226732,-0.0718655554270646,-0.0753874581993916,-0.0828559450340703,-0.08867183234933668
power,0.12803728287455396,1.0,0.665576224693038,0.4598097892940961,0.781934032628088,0.08263854809222826,0.46079207896905067,0.6258867701353301,0.6136146773206924,0.5876318662522704,0.7874252355921043,0.034028055283054255,0.20454513067527208,-0.3510516170312959,-0.03239274974649908,-0.2858862546162395,-0.4807095499820935,-0.26783641803703484,0.18528637046445054,0.3075715536600208,-0.29016393178121835
weapon,0.09636731658372626,0.665576224693038,1.0,0.38558018612145156,0.6880289864731536,0.14551038478197403,0.40004976486555,0.39584595743036066,0.4567628703169851,0.35093592052561323,0.6117170039344448,0.04944658516997373,-0.07013920981493203,-0.27818215271172375,0.052201639942352156,-0.03156851865418836,-0.3750746496188617,-0.17834392141094238,-0.16352174425214858,0.15131234912215288,-0.3467186322423408
cool,0.08863630234621163,0.4598097892940961,0.38558018612145156,1.0,0.7294087227092292,-0.39992527488080565,0.7463326962862415,0.7499829209692834,0.8866289797822863,0.43244396360724247,0.5620535203661554,0.4836176052875433,0.45428781996766454,0.14966060687840235,0.6875619968877001,0.40442509923327835,-0.08163648763529963,-0.039721988220306995,0.304123750168166,0.3875623034618132,0.20323031106653744
uncool,0.08752383526604676,0.781934032628088,0.6880289864731536,0.7294087227092292,1.0,-0.1941540801285242,0.6497733346121872,0.7932546685235379,0.8553298208782479,0.5804036058769629,0.8108120021131987,0.2092228717989201,0.32927947303975136,-0.24658309078171697,0.3818317668610864,0.005734333639397186,-0.4505072535653281,-0.28744119014179026,0.16832713755234077,0.5084773801336121,-0.09205686785353588
volkswagen,0.08624830754547083,0.08263854809222826,0.14551038478197403,-0.39992527488080565,-0.1941540801285242,1.0,-0.23837298308743848,-0.292539373378493,-0.35814798048298446,-0.02739292812881042,-0.16503046339501848,-0.43166687195221604,-0.4699525392524366,-0.28086430444112487,-0.5661243124623231,-0.440646088357805,-0.11710416207351369,-0.05160853680795613,-0.4533418395901167,-0.4242846611567762,-0.4739613052333094
design,0.08094139705604532,0.46079207896905067,0.40004976486555,0.7463326962862415,0.6497733346121872,-0.23837298308743848,1.0,0.5664995861722828,0.7179696731391673,0.7139513623904076,0.6666959708926022,0.16992396735070117,0.513497960840089,0.17637265248909959,0.5367371392902217,0.08549107713514092,-0.10680456232928418,-0.15245819072498862,0.3255692389344428,0.5397369518137054,0.12561841860944148
inaktiv,0.06858094111634742,0.6258867701353301,0.39584595743036066,0.7499829209692834,0.7932546685235379,-0.292539373378493,0.5664995861722828,1.0,0.9385731644317132,0.5957931626583046,0.6803519561379252,0.2709354901173379,0.47816355382582804,-0.22857872430513934,0.46446753787288564,0.10608504242968529,-0.4374267023399854,-0.29063615173162094,0.3433139241944556,0.539064779177749,0.1297970883940684
lazy,0.06700988346971858,0.6136146773206924,0.4567628703169851,0.8866289797822863,0.8553298208782479,-0.35814798048298446,0.7179696731391673,0.9385731644317132,1.0,0.5944564617992855,0.7352191009882868,0.3902566116993552,0.5253913578926853,-0.08050659299477517,0.6078790568245634,0.2271034042841969,-0.3344223190723871,-0.21060339865995092,0.37446137469310603,0.5728927439084074,0.17071018240834276
technical,0.063504071373542,0.5876318662522704,0.35093592052561323,0.43244396360724247,0.5804036058769629,-0.02739292812881042,0.7139513623904076,0.5957931626583046,0.5944564617992855,1.0,0.7207777226828691,-0.2303774567115142,0.44684725593013125,-0.18691914817985325,0.13880898307513065,-0.37039284828613506,-0.3687216913376048,-0.40432231259373974,0.21480237873348348,0.5769099340770435,-0.06355142822917735
outside,0.06250027598798935,0.7874252355921043,0.6117170039344448,0.5620535203661554,0.8108120021131987,-0.16503046339501848,0.6666959708926022,0.6803519561379252,0.7352191009882868,0.7207777226828691,1.0,0.034476706740427715,0.32038279858585633,-0.31913469716608683,0.2403281319346917,-0.2118804346580272,-0.5416812162056575,-0.41763423887850465,0.25593836097153283,0.5851620515073307,-0.12055619721260975
family,-0.03766545938232585,0.034028055283054255,0.04944658516997373,0.4836176052875433,0.2092228717989201,-0.43166687195221604,0.16992396735070117,0.2709354901173379,0.3902566116993552,-0.2303774567115142,0.034476706740427715,1.0,0.546901997827602,0.47291453555861657,0.6571997419260035,0.801523987182061,0.2880930755544687,0.5123501291749667,0.5974247803116997,0.19362684789217025,0.6449833112879076
TheSage,-0.03816400723187847,0.20454513067527208,-0.07013920981493203,0.45428781996766454,0.32927947303975136,-0.4699525392524366,0.513497960840089,0.47816355382582804,0.5253913578926853,0.44684725593013125,0.32038279858585633,0.546901997827602,1.0,0.3762648004919978,0.6170127836067225,0.3350584616375928,0.11616887843461707,0.23765303819245115,0.8262707202156633,0.7066929588560452,0.728953682227622
show,-0.043501892870967396,-0.3510516170312959,-0.27818215271172375,0.14966060687840235,-0.24658309078171697,-0.28086430444112487,0.17637265248909959,-0.22857872430513934,-0.08050659299477517,-0.18691914817985325,-0.31913469716608683,0.47291453555861657,0.3762648004919978,1.0,0.376769229214706,0.5415840185794798,0.882235020868778,0.6149495846236424,0.39015650448816647,-0.013247972683684559,0.46030978234370806
unsympathisch,-0.04474056998979308,-0.03239274974649908,0.052201639942352156,0.6875619968877001,0.3818317668610864,-0.5661243124623231,0.5367371392902217,0.46446753787288564,0.6078790568245634,0.13880898307513065,0.2403281319346917,0.6571997419260035,0.6170127836067225,0.376769229214706,1.0,0.6416205531065405,0.11773914265267983,0.1988678139736477,0.4611707272053915,0.47153401373341486,0.5948769306240903
friendship,-0.05458668122154812,-0.2858862546162395,-0.03156851865418836,0.40442509923327835,0.005734333639397186,-0.440646088357805,0.08549107713514092,0.10608504242968529,0.2271034042841969,-0.37039284828613506,-0.2118804346580272,0.801523987182061,0.3350584616375928,0.5415840185794798,0.6416205531065405,1.0,0.436063026096841,0.48039396125301237,0.35074759604239064,0.026564844292764327,0.5593254686626575
performance,-0.06432699913226732,-0.4807095499820935,-0.3750746496188617,-0.08163648763529963,-0.4505072535653281,-0.11710416207351369,-0.10680456232928418,-0.4374267023399854,-0.3344223190723871,-0.3687216913376048,-0.5416812162056575,0.2880930755544687,0.11616887843461707,0.882235020868778,0.11773914265267983,0.436063026096841,1.0,0.6805516456988994,0.1955760949299569,-0.23577510596988135,0.31703479420089037
winner,-0.0718655554270646,-0.26783641803703484,-0.17834392141094238,-0.039721988220306995,-0.28744119014179026,-0.05160853680795613,-0.15245819072498862,-0.29063615173162094,-0.21060339865995092,-0.40432231259373974,-0.41763423887850465,0.5123501291749667,0.23765303819245115,0.6149495846236424,0.1988678139736477,0.48039396125301237,0.6805516456988994,1.0,0.31823398757160587,-0.03366354648213464,0.4415227543097294
community,-0.0753874581993916,0.18528637046445054,-0.16352174425214858,0.304123750168166,0.16832713755234077,-0.4533418395901167,0.3255692389344428,0.3433139241944556,0.37446137469310603,0.21480237873348348,0.25593836097153283,0.5974247803116997,0.8262707202156633,0.39015650448816647,0.4611707272053915,0.35074759604239064,0.1955760949299569,0.31823398757160587,1.0,0.552181182468691,0.645497672091778
evaluating,-0.0828559450340703,0.3075715536600208,0.15131234912215288,0.3875623034618132,0.5084773801336121,-0.4242846611567762,0.5397369518137054,0.539064779177749,0.5728927439084074,0.5769099340770435,0.5851620515073307,0.19362684789217025,0.7066929588560452,-0.013247972683684559,0.47153401373341486,0.026564844292764327,-0.23577510596988135,-0.03366354648213464,0.552181182468691,1.0,0.3389988063570482
collar,-0.08867183234933668,-0.29016393178121835,-0.3467186322423408,0.20323031106653744,-0.09205686785353588,-0.4739613052333094,0.12561841860944148,0.1297970883940684,0.17071018240834276,-0.06355142822917735,-0.12055619721260975,0.6449833112879076,0.728953682227622,0.46030978234370806,0.5948769306240903,0.5593254686626575,0.31703479420089037,0.4415227543097294,0.645497672091778,0.3389988063570482,1.0
