,success,altmodisch,basic,weapon,volkswagen,trust,traditionell,names,instrument,restrictive,friendship,diligent,responsible,science,community,aktiv,TheSage,TheCreator,winner,TheRuler,TheHero
success,1.0,0.11091767672841218,0.09501351837988228,0.05022810620531909,0.04572443644195954,0.04481728736615925,0.04181179789072226,0.029398397007951486,0.01961942935311043,0.016757006805872558,0.0164904783807383,-0.11754986493388589,-0.11851725303804723,-0.12257202131907295,-0.1249522705420355,-0.12613702357205472,-0.12848500563215418,-0.13231079800206272,-0.14603276307179078,-0.15148362518278372,-0.16993631363857786
altmodisch,0.11091767672841218,1.0,0.2232489194109349,-0.0359385821531373,0.09772294984546677,0.08998406967065806,0.4103398893556107,0.45304943194331876,0.5280789724764648,-0.21426696431874384,0.11001987204541089,-0.16950785927267734,-0.41450437606490564,-0.07370669454777418,-0.14029169283827014,-0.037834499545120234,-0.10209404387963507,0.1893606545028605,-0.034537439209443056,-0.21715883161146812,-0.1391921171706728
basic,0.09501351837988228,0.2232489194109349,1.0,0.36603951710657684,-0.12274099435354202,-0.4704473709552091,0.4724645668225812,0.1090844642527425,0.282915509364648,0.342516337057223,0.48874776015133814,0.18177162204076408,-0.053930736390428675,-0.09320337087833452,-0.06041044643541386,0.053792492989807504,-0.09119521264447676,0.15098753967031037,0.11245934793872121,-0.06776263503712629,0.1700556397684807
weapon,0.05022810620531909,-0.0359385821531373,0.36603951710657684,1.0,0.33506618436342345,-0.23433060023345195,0.16467845144795415,0.03304344683900196,0.24826889270949845,0.6931808850823704,-0.04905416847122473,-0.1309615173786815,0.20776990233087514,0.17067929659254388,-0.2617932445274507,-0.12314013786532757,-0.06987817280479997,0.11447741509946881,-0.17886241638417089,0.19893434243548655,-0.008520568749723052
volkswagen,0.04572443644195954,0.09772294984546677,-0.12274099435354202,0.33506618436342345,1.0,0.36542506811116293,-0.17843280173082515,0.34057046044313377,0.0014520189622398547,-0.023620542055410153,-0.4031033944190392,-0.5479828126643173,-0.2793438356109557,-0.08399945053131923,-0.39333841675578224,-0.36441097531537503,-0.358959620395772,-0.2538488519593311,-0.013601452396963119,-0.06783638272265219,-0.29232845891808623
trust,0.04481728736615925,0.08998406967065806,-0.4704473709552091,-0.23433060023345195,0.36542506811116293,1.0,-0.560035908916246,0.3499164392983981,-0.10151296844075183,-0.340010196136813,-0.5066303388106739,-0.6844355177081863,-0.5229254033640479,-0.32593335566979853,-0.4810458126566789,-0.47906447647236616,-0.4813327464095842,-0.5350044873845654,-0.17102961713141013,-0.42342237642031283,-0.5733401829966357
traditionell,0.04181179789072226,0.4103398893556107,0.4724645668225812,0.16467845144795415,-0.17843280173082515,-0.560035908916246,1.0,0.2049408267517659,0.24305450187695815,0.27092902864822505,0.4369766986474828,0.41583389608079296,0.35080026577278145,0.2298009190705025,0.44830882423425367,0.2635185677711268,0.4886739404143065,0.6217790809261323,0.16921028243396818,0.4361648567511842,0.49643757910968644
names,0.029398397007951486,0.45304943194331876,0.1090844642527425,0.03304344683900196,0.34057046044313377,0.3499164392983981,0.2049408267517659,1.0,0.3327071549642533,-0.2327543296099446,0.0946249492827237,-0.3495462435958715,-0.35150119496124504,-0.2189085542122368,-0.17624224114885892,-0.33781669632154643,-0.14234797421292528,-0.0111798016872264,0.3313418031822896,-0.12017030631037767,-0.020852942561767816
instrument,0.01961942935311043,0.5280789724764648,0.282915509364648,0.24826889270949845,0.0014520189622398547,-0.10151296844075183,0.24305450187695815,0.3327071549642533,1.0,-0.009583215039108002,0.25068260530531206,0.010547794284452985,-0.141727009341048,0.05793312641646454,-0.011381214563546689,0.13119525092762335,0.04323673971788044,0.3027050795525685,0.14633436086728988,0.03705283762524893,0.10736807890209196
restrictive,0.016757006805872558,-0.21426696431874384,0.342516337057223,0.6931808850823704,-0.023620542055410153,-0.340010196136813,0.27092902864822505,-0.2327543296099446,-0.009583215039108002,1.0,-0.10526040837454405,0.13215791692061327,0.5434296656750164,0.3574122948998141,-0.0576955129754596,0.10498449844163885,0.18432226316991993,0.25118210175743216,-0.4247671429846091,0.363712547810284,0.06454507078963502
friendship,0.0164904783807383,0.11001987204541089,0.48874776015133814,-0.04905416847122473,-0.4031033944190392,-0.5066303388106739,0.4369766986474828,0.0946249492827237,0.25068260530531206,-0.10526040837454405,1.0,0.5222934790882954,0.028878095855013327,-0.17761271852455476,0.29774665278804247,0.19529321021663548,0.21647144730330953,0.26712961472049995,0.42971350185221563,0.004893721172996556,0.4479111967783691
diligent,-0.11754986493388589,-0.16950785927267734,0.18177162204076408,-0.1309615173786815,-0.5479828126643173,-0.6844355177081863,0.41583389608079296,-0.3495462435958715,0.010547794284452985,0.13215791692061327,0.5222934790882954,1.0,0.5886607920369411,0.3895852110504975,0.6359057404222469,0.7041125070889589,0.7014770061960752,0.611776142432784,0.2804658110040002,0.5326105591523067,0.7550586545279545
responsible,-0.11851725303804723,-0.41450437606490564,-0.053930736390428675,0.20776990233087514,-0.2793438356109557,-0.5229254033640479,0.35080026577278145,-0.35150119496124504,-0.141727009341048,0.5434296656750164,0.028878095855013327,0.5886607920369411,1.0,0.5458261042012621,0.5752256032028799,0.46434742563822956,0.7190332516925015,0.6022866962576162,-0.034688503497080664,0.8002645191989456,0.5589063061772587
science,-0.12257202131907295,-0.07370669454777418,-0.09320337087833452,0.17067929659254388,-0.08399945053131923,-0.32593335566979853,0.2298009190705025,-0.2189085542122368,0.05793312641646454,0.3574122948998141,-0.17761271852455476,0.3895852110504975,0.5458261042012621,1.0,0.48173507931906084,0.6625525544148031,0.7381905688171909,0.6802433578170967,-0.0982330289781629,0.7024571864301264,0.4836913393083226
community,-0.1249522705420355,-0.14029169283827014,-0.06041044643541386,-0.2617932445274507,-0.39333841675578224,-0.4810458126566789,0.44830882423425367,-0.17624224114885892,-0.011381214563546689,-0.0576955129754596,0.29774665278804247,0.6359057404222469,0.5752256032028799,0.48173507931906084,1.0,0.6424767277713032,0.7586317771004384,0.6891748361803631,0.29872114951840273,0.6977797823362575,0.7038505354959659
aktiv,-0.12613702357205472,-0.037834499545120234,0.053792492989807504,-0.12314013786532757,-0.36441097531537503,-0.47906447647236616,0.2635185677711268,-0.33781669632154643,0.13119525092762335,0.10498449844163885,0.19529321021663548,0.7041125070889589,0.46434742563822956,0.6625525544148031,0.6424767277713032,1.0,0.6521994821006136,0.7137054839428275,0.07939951235110118,0.5703367863491196,0.6286072976097445
TheSage,-0.12848500563215418,-0.10209404387963507,-0.09119521264447676,-0.06987817280479997,-0.358959620395772,-0.4813327464095842,0.4886739404143065,-0.14234797421292528,0.04323673971788044,0.18432226316991993,0.21647144730330953,0.7014770061960752,0.7190332516925015,0.7381905688171909,0.7586317771004384,0.6521994821006136,1.0,0.8048516562557783,0.17562538010575662,0.8133050771231707,0.7552272566194055
TheCreator,-0.13231079800206272,0.1893606545028605,0.15098753967031037,0.11447741509946881,-0.2538488519593311,-0.5350044873845654,0.6217790809261323,-0.0111798016872264,0.3027050795525685,0.25118210175743216,0.26712961472049995,0.611776142432784,0.6022866962576162,0.6802433578170967,0.6891748361803631,0.7137054839428275,0.8048516562557783,1.0,0.24372716496845134,0.7846879382618475,0.7798447634431738
winner,-0.14603276307179078,-0.034537439209443056,0.11245934793872121,-0.17886241638417089,-0.013601452396963119,-0.17102961713141013,0.16921028243396818,0.3313418031822896,0.14633436086728988,-0.4247671429846091,0.42971350185221563,0.2804658110040002,-0.034688503497080664,-0.0982330289781629,0.29872114951840273,0.07939951235110118,0.17562538010575662,0.24372716496845134,1.0,0.18734873939658483,0.6498168519793015
TheRuler,-0.15148362518278372,-0.21715883161146812,-0.06776263503712629,0.19893434243548655,-0.06783638272265219,-0.42342237642031283,0.4361648567511842,-0.12017030631037767,0.03705283762524893,0.363712547810284,0.004893721172996556,0.5326105591523067,0.8002645191989456,0.7024571864301264,0.6977797823362575,0.5703367863491196,0.8133050771231707,0.7846879382618475,0.18734873939658483,1.0,0.7321266663566569
TheHero,-0.16993631363857786,-0.1391921171706728,0.1700556397684807,-0.008520568749723052,-0.29232845891808623,-0.5733401829966357,0.49643757910968644,-0.020852942561767816,0.10736807890209196,0.06454507078963502,0.4479111967783691,0.7550586545279545,0.5589063061772587,0.4836913393083226,0.7038505354959659,0.6286072976097445,0.7552272566194055,0.7798447634431738,0.6498168519793015,0.7321266663566569,1.0
