,success,cheap,beautiful,design,ugly,pleasant,attractive,open,TheInnocent,unkompliziert,cool,names,winner,volkswagen,names,names,evaluating,performance,names,bargain,trust
success,1.0,0.15753221934200623,0.15441617361492577,0.13952671584984871,0.13331532548220684,0.1323560918864012,0.1277033271239302,0.12675385844250817,0.1258016912408268,0.12445009429529343,0.12379168487367455,0.004367173524775111,0.0018064081305126268,-0.001675277351196494,-0.005658057514216945,-0.0074935022891364665,-0.008266100636921224,-0.012198302809874823,-0.01942154741949864,-0.03904870345914936,-0.07411787689639221
cheap,0.15753221934200623,1.0,0.7768305448045688,0.6832737583043884,0.7897901282127034,0.7830436601708245,0.8625196778437342,0.711086004962827,0.8172406919268471,0.8134857555002496,0.7911861133741478,-0.3270297392569459,0.013756086038694127,-0.38324792066346575,-0.21704807621445688,-0.331937815507278,0.3854687558716259,-0.1983186018454816,-0.33693792206196915,-0.12124738055075446,-0.7215217479735394
beautiful,0.15441617361492577,0.7768305448045688,1.0,0.6582057739625501,0.7751835056123654,0.8777889986019682,0.8561848051721416,0.6961893706364856,0.7713014865765192,0.599151041272599,0.774467744305489,-0.10537885918788417,0.20860922511810043,-0.39556296340119734,0.13331606471570107,0.06253422734247474,0.05860711583182837,0.1887348587691395,-0.04530041327208751,-0.13208405872306542,-0.6250335736497036
design,0.13952671584984871,0.6832737583043884,0.6582057739625501,1.0,0.38967969900201693,0.5626449199657052,0.7299220828776862,0.7014723398223666,0.6168832266286782,0.8127273763134522,0.70729471382561,-0.32296167164445644,-0.24006586127938245,-0.19102891811420256,-0.40557938567842544,-0.3837202499544428,0.3836077144545563,-0.2027242982765659,-0.3712946418055657,-0.16478893080729026,-0.4587118898047619
ugly,0.13331532548220684,0.7897901282127034,0.7751835056123654,0.38967969900201693,1.0,0.7650710667008092,0.743580875425095,0.6141303808941473,0.775396739275654,0.5149826545829341,0.6275782658898061,-0.06710062701441777,0.2018299590698703,-0.40112835253466433,0.1351400285625315,0.03149400502950066,0.14328029867653372,0.0864552116056697,-0.030886031756368712,-0.2409063986573239,-0.6892659003872889
pleasant,0.1323560918864012,0.7830436601708245,0.8777889986019682,0.5626449199657052,0.7650710667008092,1.0,0.7589349426764084,0.6556470420367448,0.8221435774012857,0.5615515863450932,0.8277000602283733,-0.15168467238771266,0.208254436215542,-0.403100789029632,0.11912257452356069,-0.020222871781587846,0.02659539440366209,0.11026637178579612,-0.11566180284303636,-0.097351294154007,-0.7212360586076182
attractive,0.1277033271239302,0.8625196778437342,0.8561848051721416,0.7299220828776862,0.743580875425095,0.7589349426764084,1.0,0.8250728675195735,0.8520028527240217,0.7747724591113279,0.7582998699153966,-0.37038613507097135,0.08436637276384268,-0.47250078306637994,-0.13436070541928868,-0.23026066536424603,0.45617805238779374,-0.0032139486435505487,-0.2847406295989248,-0.17258652896588966,-0.7114666443601636
open,0.12675385844250817,0.711086004962827,0.6961893706364856,0.7014723398223666,0.6141303808941473,0.6556470420367448,0.8250728675195735,1.0,0.799819649388563,0.7151097991890615,0.6848136581108436,-0.2982183087636386,0.031105044054989678,-0.42135742489715955,-0.060762856427433794,-0.1791967891568829,0.4425542522584034,-0.01616582893680287,-0.22340916694995172,-0.37731673230172613,-0.6120834112806015
TheInnocent,0.1258016912408268,0.8172406919268471,0.7713014865765192,0.6168832266286782,0.775396739275654,0.8221435774012857,0.8520028527240217,0.799819649388563,1.0,0.688180290715969,0.751402298389773,-0.20472962053837745,0.19649840514312006,-0.4029604070115845,-0.02543746959843973,-0.10137073695162936,0.3344437517247871,-0.01284074470194001,-0.14847646055307004,-0.28619385388940555,-0.7285139787919672
unkompliziert,0.12445009429529343,0.8134857555002496,0.599151041272599,0.8127273763134522,0.5149826545829341,0.5615515863450932,0.7747724591113279,0.7151097991890615,0.688180290715969,1.0,0.7752079204998388,-0.5095110294844909,-0.2831730008577717,-0.3513434858349285,-0.5063830776307487,-0.5778977881957083,0.569794255387651,-0.42919470326822656,-0.5326788986740647,-0.17254665868674193,-0.5630195044638386
cool,0.12379168487367455,0.7911861133741478,0.774467744305489,0.70729471382561,0.6275782658898061,0.8277000602283733,0.7582998699153966,0.6848136581108436,0.751402298389773,0.7752079204998388,1.0,-0.3173907676234878,-0.08606997064488986,-0.3353317935757568,-0.22625685729755915,-0.3338715932908271,0.25608705158061684,-0.1548565534571337,-0.3307336346026101,-0.10392589917956195,-0.6624627054170856
names,0.004367173524775111,-0.3270297392569459,-0.10537885918788417,-0.32296167164445644,-0.06710062701441777,-0.15168467238771266,-0.37038613507097135,-0.2982183087636386,-0.20472962053837745,-0.5095110294844909,-0.3173907676234878,1.0,0.40249471896351663,0.3356849773179005,0.5464443673751758,0.7735609877861515,-0.5034627595209964,0.4154268305963578,0.819043684460383,-0.13290789581823848,0.4015998463809998
winner,0.0018064081305126268,0.013756086038694127,0.20860922511810043,-0.24006586127938245,0.2018299590698703,0.208254436215542,0.08436637276384268,0.031105044054989678,0.19649840514312006,-0.2831730008577717,-0.08606997064488986,0.40249471896351663,1.0,0.016657385038231946,0.6758350733305017,0.6023998216491881,-0.16618679630831018,0.6093591531201862,0.5359869504034745,0.037791721351615445,-0.11239621459557601
volkswagen,-0.001675277351196494,-0.38324792066346575,-0.39556296340119734,-0.19102891811420256,-0.40112835253466433,-0.403100789029632,-0.47250078306637994,-0.42135742489715955,-0.4029604070115845,-0.3513434858349285,-0.3353317935757568,0.3356849773179005,0.016657385038231946,1.0,-0.02789476951634257,0.12178961542525428,-0.2724352751215699,-0.010345522226689146,0.16075841159527982,0.14315620476860702,0.4107734276312093
names,-0.005658057514216945,-0.21704807621445688,0.13331606471570107,-0.40557938567842544,0.1351400285625315,0.11912257452356069,-0.13436070541928868,-0.060762856427433794,-0.02543746959843973,-0.5063830776307487,-0.22625685729755915,0.5464443673751758,0.6758350733305017,-0.02789476951634257,1.0,0.8367334965978553,-0.4909354218000487,0.6284569803621104,0.7043809842067523,-0.16938968333927792,0.05959102278263286
names,-0.0074935022891364665,-0.331937815507278,0.06253422734247474,-0.3837202499544428,0.03149400502950066,-0.020222871781587846,-0.23026066536424603,-0.1791967891568829,-0.10137073695162936,-0.5778977881957083,-0.3338715932908271,0.7735609877861515,0.6023998216491881,0.12178961542525428,0.8367334965978553,1.0,-0.5554645373357073,0.6425595400936236,0.8997729005413755,-0.14912429070889693,0.25730420319788333
evaluating,-0.008266100636921224,0.3854687558716259,0.05860711583182837,0.3836077144545563,0.14328029867653372,0.02659539440366209,0.45617805238779374,0.4425542522584034,0.3344437517247871,0.569794255387651,0.25608705158061684,-0.5034627595209964,-0.16618679630831018,-0.2724352751215699,-0.4909354218000487,-0.5554645373357073,1.0,-0.4403378918903346,-0.4919684825879497,-0.12878502454713106,-0.355148987077178
performance,-0.012198302809874823,-0.1983186018454816,0.1887348587691395,-0.2027242982765659,0.0864552116056697,0.11026637178579612,-0.0032139486435505487,-0.01616582893680287,-0.01284074470194001,-0.42919470326822656,-0.1548565534571337,0.4154268305963578,0.6093591531201862,-0.010345522226689146,0.6284569803621104,0.6425595400936236,-0.4403378918903346,1.0,0.5668928689956445,0.015204130052277593,0.09769519823132453
names,-0.01942154741949864,-0.33693792206196915,-0.04530041327208751,-0.3712946418055657,-0.030886031756368712,-0.11566180284303636,-0.2847406295989248,-0.22340916694995172,-0.14847646055307004,-0.5326788986740647,-0.3307336346026101,0.819043684460383,0.5359869504034745,0.16075841159527982,0.7043809842067523,0.8997729005413755,-0.4919684825879497,0.5668928689956445,1.0,-0.1989696371994255,0.33840072255081544
bargain,-0.03904870345914936,-0.12124738055075446,-0.13208405872306542,-0.16478893080729026,-0.2409063986573239,-0.097351294154007,-0.17258652896588966,-0.37731673230172613,-0.28619385388940555,-0.17254665868674193,-0.10392589917956195,-0.13290789581823848,0.037791721351615445,0.14315620476860702,-0.16938968333927792,-0.14912429070889693,-0.12878502454713106,0.015204130052277593,-0.1989696371994255,1.0,0.09258325559135788
trust,-0.07411787689639221,-0.7215217479735394,-0.6250335736497036,-0.4587118898047619,-0.6892659003872889,-0.7212360586076182,-0.7114666443601636,-0.6120834112806015,-0.7285139787919672,-0.5630195044638386,-0.6624627054170856,0.4015998463809998,-0.11239621459557601,0.4107734276312093,0.05959102278263286,0.25730420319788333,-0.355148987077178,0.09769519823132453,0.33840072255081544,0.09258325559135788,1.0
