,success,new,design,fascination,altmodisch,trendy,traditional,TheCreator,TheWizard,warm,modern,collar,inside,names,trust,above,outside,protective,children,collar,bargain
success,1.0,0.12260290358779441,0.1096319208302486,0.10576129463626482,0.09582601484869395,0.09518500222119598,0.09404745762669003,0.08975999014823788,0.0881932106093329,0.08678620033388253,0.08673983336889662,-0.005694758808685618,-0.00627697745431434,-0.006528789282240028,-0.009339524702029362,-0.010997331845904117,-0.014573120854830346,-0.014805235999460587,-0.017022134210532742,-0.03184795695684936,-0.07121647840411051
new,0.12260290358779441,1.0,0.46914562986936437,0.5942170170312207,0.23718410791212616,0.6280861182634069,0.5832288507310757,0.6743227978467318,0.7504538519617228,0.6448691490356301,0.8125325742460013,0.019691537945381733,0.3219819595062515,0.009145430528612485,-0.4161168367146132,0.3069050087578959,0.23500684144965378,0.1462896365363241,0.2304605741055234,0.19484297573895143,-0.23167907831898946
design,0.1096319208302486,0.46914562986936437,1.0,0.43097689847516735,0.39710087858097304,0.6571168152926076,0.7286895736015069,0.5938553064504908,0.48015059569671925,0.7189517310336114,0.5619547897003961,0.05837081073416607,0.5003802409132837,-0.25450683716269673,-0.35814258972402757,0.23265868456781838,0.5177806630143182,0.41611894143817457,0.18813682287801492,0.12115689391767374,-0.2303853867135538
fascination,0.10576129463626482,0.5942170170312207,0.43097689847516735,1.0,0.4325742562735797,0.7098236218409817,0.6277593496690395,0.8219980877006919,0.7525357189310088,0.6789262044005812,0.628546077634642,-0.12848124733596486,-0.018835204624943126,0.3416265891496254,-0.43865097194245833,0.140773219717896,-0.09536963290625283,-0.07717633848271153,0.42654691043100035,0.4309350125956813,-0.31470990263264836
altmodisch,0.09582601484869395,0.23718410791212616,0.39710087858097304,0.4325742562735797,1.0,0.5353264965815377,0.6249782061979057,0.27065969664359074,0.17479819499054294,0.22005334377377966,0.23048622994630952,-0.2004729919154399,-0.183468156585578,0.24562076510606914,-0.030657136459146635,-0.2847490056791069,-0.16629366775247767,-0.3008657206841963,0.03255307317137977,-0.11083365490559652,-0.21947430508687119
trendy,0.09518500222119598,0.6280861182634069,0.6571168152926076,0.7098236218409817,0.5353264965815377,1.0,0.7743296698845764,0.6701093268530258,0.6215224758825822,0.7074813597044414,0.7211800083836198,-0.15492538228243688,0.07125569361774114,0.07614040642214819,-0.4121788089938768,0.1360342425316511,0.06253644958927408,-0.004024314317023289,0.39095686966975984,0.1721230566809647,-0.09667449569326605
traditional,0.09404745762669003,0.5832288507310757,0.7286895736015069,0.6277593496690395,0.6249782061979057,0.7743296698845764,1.0,0.6784470134494538,0.6177376275757803,0.6957439958877237,0.6718964281832036,-0.08841127233726054,0.34603305869908535,-0.06331700456657344,-0.3869317907595706,0.21905066758931527,0.34073092582268516,0.18604684596703697,0.2563816791747761,0.0919468346841743,-0.30382857919036926
TheCreator,0.08975999014823788,0.6743227978467318,0.5938553064504908,0.8219980877006919,0.27065969664359074,0.6701093268530258,0.6784470134494538,1.0,0.9137572524285377,0.8048532361396853,0.7229292386981135,0.0017493153210731767,0.3088009200811778,0.1466658954423653,-0.4797491916781259,0.3205915156372565,0.24416433667956428,0.1731875696977615,0.45294203173177283,0.5157951531229963,-0.4369969905061988
TheWizard,0.0881932106093329,0.7504538519617228,0.48015059569671925,0.7525357189310088,0.17479819499054294,0.6215224758825822,0.6177376275757803,0.9137572524285377,1.0,0.7686127892076822,0.7338146396112415,0.06847436133778705,0.3474500287291749,0.15147928121220672,-0.5245372109606378,0.46239304493846356,0.2458739532854942,0.16302958206501839,0.4264844637290609,0.5471812364844257,-0.43564162892980807
warm,0.08678620033388253,0.6448691490356301,0.7189517310336114,0.6789262044005812,0.22005334377377966,0.7074813597044414,0.6957439958877237,0.8048532361396853,0.7686127892076822,1.0,0.7132801777189152,-0.006056315061177104,0.4709958979795447,-0.04126624479715076,-0.6406504710865843,0.5290837660479893,0.42143194602634637,0.3440946315183577,0.5580849329367179,0.3372136431702711,-0.2770050083801112
modern,0.08673983336889662,0.8125325742460013,0.5619547897003961,0.628546077634642,0.23048622994630952,0.7211800083836198,0.6718964281832036,0.7229292386981135,0.7338146396112415,0.7132801777189152,1.0,-0.02085535608191583,0.3651418631227059,-0.08392575715907834,-0.4969308884703976,0.3034443025458269,0.30066428149999247,0.28169976773295585,0.21310475248515098,0.3196361994644118,-0.2037220181581391
collar,-0.005694758808685618,0.019691537945381733,0.05837081073416607,-0.12848124733596486,-0.2004729919154399,-0.15492538228243688,-0.08841127233726054,0.0017493153210731767,0.06847436133778705,-0.006056315061177104,-0.02085535608191583,1.0,0.28825971031118364,-0.029038520635009137,-0.22093833951455477,0.16762691262348675,0.24184516116769142,0.343409839808519,0.09999749846667505,0.35039533327596195,-0.19214589719156486
inside,-0.00627697745431434,0.3219819595062515,0.5003802409132837,-0.018835204624943126,-0.183468156585578,0.07125569361774114,0.34603305869908535,0.3088009200811778,0.3474500287291749,0.4709958979795447,0.3651418631227059,0.28825971031118364,1.0,-0.49221091482874,-0.44370187473276207,0.635928784865535,0.8993225341346821,0.7637429341003414,0.11850292222897114,0.0958933778009092,-0.2552205094177337
names,-0.006528789282240028,0.009145430528612485,-0.25450683716269673,0.3416265891496254,0.24562076510606914,0.07614040642214819,-0.06331700456657344,0.1466658954423653,0.15147928121220672,-0.04126624479715076,-0.08392575715907834,-0.029038520635009137,-0.49221091482874,1.0,-0.03269254289758669,-0.23893746840221752,-0.5366293349841357,-0.512029565571316,0.19312134095234904,0.30263340473650435,-0.2376071692431376
trust,-0.009339524702029362,-0.4161168367146132,-0.35814258972402757,-0.43865097194245833,-0.030657136459146635,-0.4121788089938768,-0.3869317907595706,-0.4797491916781259,-0.5245372109606378,-0.6406504710865843,-0.4969308884703976,-0.22093833951455477,-0.44370187473276207,-0.03269254289758669,1.0,-0.5863798987309897,-0.3443313268872654,-0.3705305509011558,-0.5733159762908963,-0.3510830961129778,0.07680569611300532
above,-0.010997331845904117,0.3069050087578959,0.23265868456781838,0.140773219717896,-0.2847490056791069,0.1360342425316511,0.21905066758931527,0.3205915156372565,0.46239304493846356,0.5290837660479893,0.3034443025458269,0.16762691262348675,0.635928784865535,-0.23893746840221752,-0.5863798987309897,1.0,0.5257527915712258,0.4505539533321827,0.34206980207665455,0.259633341537913,-0.1768591610775226
outside,-0.014573120854830346,0.23500684144965378,0.5177806630143182,-0.09536963290625283,-0.16629366775247767,0.06253644958927408,0.34073092582268516,0.24416433667956428,0.2458739532854942,0.42143194602634637,0.30066428149999247,0.24184516116769142,0.8993225341346821,-0.5366293349841357,-0.3443313268872654,0.5257527915712258,1.0,0.6805288566522119,0.04302987004139874,0.06160746563283083,-0.1604769024518446
protective,-0.014805235999460587,0.1462896365363241,0.41611894143817457,-0.07717633848271153,-0.3008657206841963,-0.004024314317023289,0.18604684596703697,0.1731875696977615,0.16302958206501839,0.3440946315183577,0.28169976773295585,0.343409839808519,0.7637429341003414,-0.512029565571316,-0.3705305509011558,0.4505539533321827,0.6805288566522119,1.0,0.14175492270581852,0.15698098246322262,-0.12748619003193087
children,-0.017022134210532742,0.2304605741055234,0.18813682287801492,0.42654691043100035,0.03255307317137977,0.39095686966975984,0.2563816791747761,0.45294203173177283,0.4264844637290609,0.5580849329367179,0.21310475248515098,0.09999749846667505,0.11850292222897114,0.19312134095234904,-0.5733159762908963,0.34206980207665455,0.04302987004139874,0.14175492270581852,1.0,0.3277560558231239,-0.08256298338576244
collar,-0.03184795695684936,0.19484297573895143,0.12115689391767374,0.4309350125956813,-0.11083365490559652,0.1721230566809647,0.0919468346841743,0.5157951531229963,0.5471812364844257,0.3372136431702711,0.3196361994644118,0.35039533327596195,0.0958933778009092,0.30263340473650435,-0.3510830961129778,0.259633341537913,0.06160746563283083,0.15698098246322262,0.3277560558231239,1.0,-0.30765194642473326
bargain,-0.07121647840411051,-0.23167907831898946,-0.2303853867135538,-0.31470990263264836,-0.21947430508687119,-0.09667449569326605,-0.30382857919036926,-0.4369969905061988,-0.43564162892980807,-0.2770050083801112,-0.2037220181581391,-0.19214589719156486,-0.2552205094177337,-0.2376071692431376,0.07680569611300532,-0.1768591610775226,-0.1604769024518446,-0.12748619003193087,-0.08256298338576244,-0.30765194642473326,1.0
