,success,names,volkswagen,trust,altmodisch,names,names,names,instrument,basic,weapon,unattractive,nachhaltig,trustworthy,practical,diligent,responsible,kompliziert,valuable,collar,TheHero
success,1.0,0.15079563324751974,0.11640064782964991,0.11125868173792627,0.11038921490527806,0.10850436605044839,0.10106242824568105,0.07309643507239577,0.06731099925474124,0.052475454476803164,0.02263310765527822,-0.15014477106143556,-0.15142881868623986,-0.15175236499863246,-0.1578186372719021,-0.15849285929613044,-0.16178789551144124,-0.16363356682106325,-0.16518678473251378,-0.165348367276094,-0.1721538562571182
names,0.15079563324751974,1.0,0.4316564888775766,0.5291944952590241,0.5063546113184194,0.8201980158408609,0.7625925911283099,0.42806907419438117,0.3558742241299249,-0.00021877954539689873,0.08376294268167081,-0.5070044995753387,-0.5465706346798364,-0.4448699643044321,-0.5336964611153732,-0.5646639726039376,-0.4850215807452663,-0.5352293160896097,-0.5781254729564468,-0.34639840001980526,-0.31630719630060106
volkswagen,0.11640064782964991,0.4316564888775766,1.0,0.5641473583468024,0.19462605587351803,0.2125103059183305,0.18525726361624734,-0.014217939381873651,0.10640634099022825,-0.32736033765470657,0.15725555408833308,-0.4980405228919858,-0.4823739667093077,-0.5214105169575814,-0.4275077840769947,-0.6383543460067915,-0.49384830757904696,-0.5090553640784153,-0.5528198203727641,-0.5288113225032492,-0.5155545825981501
trust,0.11125868173792627,0.5291944952590241,0.5641473583468024,1.0,0.17595255327680434,0.3631371136260598,0.28859118631175185,0.06709819760331086,-0.054953447021901386,-0.580072219145874,-0.2818151623478603,-0.7525368984584867,-0.7681483114327405,-0.7031365507710506,-0.5149350103645491,-0.7953322189252143,-0.6650788838868879,-0.6883623859760615,-0.7658861451876933,-0.5844194772091729,-0.7145975185060321
altmodisch,0.11038921490527806,0.5063546113184194,0.19462605587351803,0.17595255327680434,1.0,0.367807057201691,0.47493682032461104,0.2656453375534715,0.5246360855401909,0.1556258463974289,0.0244340231990106,-0.20863560240906576,-0.35880870689208144,-0.20230701034185855,-0.12147061846769756,-0.2332176506432398,-0.44083455063691157,-0.18819813498314156,-0.3041389569395101,-0.23471064319446536,-0.1630276061828622
names,0.10850436605044839,0.8201980158408609,0.2125103059183305,0.3631371136260598,0.367807057201691,1.0,0.9109489797107128,0.631871465655659,0.34628674528509595,0.02606610795650738,-0.046519895200696576,-0.4449399961412069,-0.4375616738070201,-0.3267646674560681,-0.5203486800802338,-0.36158950829761954,-0.3567384012308745,-0.42866555590620814,-0.44255628505571054,-0.11400231479894202,-0.08318011394795935
names,0.10106242824568105,0.7625925911283099,0.18525726361624734,0.28859118631175185,0.47493682032461104,0.9109489797107128,1.0,0.7677727450015395,0.4161072569053558,0.11019060090259332,-0.12704517872701082,-0.4956231906406456,-0.4918774880906665,-0.387030781287309,-0.571790655783394,-0.3209126203544155,-0.43447969068392506,-0.4650308509296847,-0.47423984239520517,-0.10523218643618051,-0.06964035579099524
names,0.07309643507239577,0.42806907419438117,-0.014217939381873651,0.06709819760331086,0.2656453375534715,0.631871465655659,0.7677727450015395,1.0,0.30754252401374865,0.16035218449374605,-0.24333639800581436,-0.3887445113224154,-0.4214159141081924,-0.299108766567508,-0.47548347857037665,-0.07942990744689926,-0.34861619049703924,-0.394226689447661,-0.38189359188142097,0.07958257985342658,0.04883863939961347
instrument,0.06731099925474124,0.3558742241299249,0.10640634099022825,-0.054953447021901386,0.5246360855401909,0.34628674528509595,0.4161072569053558,0.30754252401374865,1.0,0.2771841628604023,0.3149644671722289,-0.07691515524038703,-0.154345116614739,-0.0791087483341305,-0.05904018164633761,-0.06586102727346219,-0.19056897015381308,-0.04822960672130458,-0.11074263776711603,-0.10638790393431237,0.05786380048493217
basic,0.052475454476803164,-0.00021877954539689873,-0.32736033765470657,-0.580072219145874,0.1556258463974289,0.02606610795650738,0.11019060090259332,0.16035218449374605,0.2771841628604023,1.0,0.42533903012066465,0.2952902648267105,0.3535810274685164,0.24700232978133566,0.03809914437501301,0.35853784771743774,0.16100927309091384,0.2002184227711255,0.2869343856762677,0.13100772611183967,0.32137333307556715
weapon,0.02263310765527822,0.08376294268167081,0.15725555408833308,-0.2818151623478603,0.0244340231990106,-0.046519895200696576,-0.12704517872701082,-0.24333639800581436,0.3149644671722289,0.42533903012066465,1.0,0.31247654662218305,0.3229912596406166,0.19693818331146315,0.156793942302323,0.01386580943359073,0.22315192864317052,0.24393344874508874,0.22894604406895697,-0.06731182549509526,0.11138720393734877
unattractive,-0.15014477106143556,-0.5070044995753387,-0.4980405228919858,-0.7525368984584867,-0.20863560240906576,-0.4449399961412069,-0.4956231906406456,-0.3887445113224154,-0.07691515524038703,0.2952902648267105,0.31247654662218305,1.0,0.8826512049946867,0.9095462210390763,0.8187999608291653,0.7632708960263804,0.851843633810093,0.9019462899483307,0.8887802643355107,0.5985375690554612,0.7345885894366818
nachhaltig,-0.15142881868623986,-0.5465706346798364,-0.4823739667093077,-0.7681483114327405,-0.35880870689208144,-0.4375616738070201,-0.4918774880906665,-0.4214159141081924,-0.154345116614739,0.3535810274685164,0.3229912596406166,0.8826512049946867,1.0,0.855824508273702,0.7108567424140958,0.7468312674248857,0.8415214673608715,0.8673707071939443,0.875768811418835,0.5313472123384081,0.7353855294284097
trustworthy,-0.15175236499863246,-0.4448699643044321,-0.5214105169575814,-0.7031365507710506,-0.20230701034185855,-0.3267646674560681,-0.387030781287309,-0.299108766567508,-0.0791087483341305,0.24700232978133566,0.19693818331146315,0.9095462210390763,0.855824508273702,1.0,0.8663525263998909,0.8396058277322432,0.8724525401623017,0.9253123626662387,0.9198298527652501,0.7268667336861663,0.8296226494581345
practical,-0.1578186372719021,-0.5336964611153732,-0.4275077840769947,-0.5149350103645491,-0.12147061846769756,-0.5203486800802338,-0.571790655783394,-0.47548347857037665,-0.05904018164633761,0.03809914437501301,0.156793942302323,0.8187999608291653,0.7108567424140958,0.8663525263998909,1.0,0.6850497425280457,0.7440132781594184,0.887909713744336,0.7826084814222676,0.5349025681558075,0.6034298497202789
diligent,-0.15849285929613044,-0.5646639726039376,-0.6383543460067915,-0.7953322189252143,-0.2332176506432398,-0.36158950829761954,-0.3209126203544155,-0.07942990744689926,-0.06586102727346219,0.35853784771743774,0.01386580943359073,0.7632708960263804,0.7468312674248857,0.8396058277322432,0.6850497425280457,1.0,0.7086138859460842,0.7620313520969577,0.8220272891041702,0.7287833133984812,0.8286157249738338
responsible,-0.16178789551144124,-0.4850215807452663,-0.49384830757904696,-0.6650788838868879,-0.44083455063691157,-0.3567384012308745,-0.43447969068392506,-0.34861619049703924,-0.19056897015381308,0.16100927309091384,0.22315192864317052,0.851843633810093,0.8415214673608715,0.8724525401623017,0.7440132781594184,0.7086138859460842,1.0,0.8383533091392752,0.8640831721808508,0.6649463945731161,0.7191309286997077
kompliziert,-0.16363356682106325,-0.5352293160896097,-0.5090553640784153,-0.6883623859760615,-0.18819813498314156,-0.42866555590620814,-0.4650308509296847,-0.394226689447661,-0.04822960672130458,0.2002184227711255,0.24393344874508874,0.9019462899483307,0.8673707071939443,0.9253123626662387,0.887909713744336,0.7620313520969577,0.8383533091392752,1.0,0.8940398440216528,0.623475998110767,0.7598448470231496
valuable,-0.16518678473251378,-0.5781254729564468,-0.5528198203727641,-0.7658861451876933,-0.3041389569395101,-0.44255628505571054,-0.47423984239520517,-0.38189359188142097,-0.11074263776711603,0.2869343856762677,0.22894604406895697,0.8887802643355107,0.875768811418835,0.9198298527652501,0.7826084814222676,0.8220272891041702,0.8640831721808508,0.8940398440216528,1.0,0.7007441741739469,0.7800767211599184
collar,-0.165348367276094,-0.34639840001980526,-0.5288113225032492,-0.5844194772091729,-0.23471064319446536,-0.11400231479894202,-0.10523218643618051,0.07958257985342658,-0.10638790393431237,0.13100772611183967,-0.06731182549509526,0.5985375690554612,0.5313472123384081,0.7268667336861663,0.5349025681558075,0.7287833133984812,0.6649463945731161,0.623475998110767,0.7007441741739469,1.0,0.7154257394055461
TheHero,-0.1721538562571182,-0.31630719630060106,-0.5155545825981501,-0.7145975185060321,-0.1630276061828622,-0.08318011394795935,-0.06964035579099524,0.04883863939961347,0.05786380048493217,0.32137333307556715,0.11138720393734877,0.7345885894366818,0.7353855294284097,0.8296226494581345,0.6034298497202789,0.8286157249738338,0.7191309286997077,0.7598448470231496,0.7800767211599184,0.7154257394055461,1.0
