,success,eaching,heRebel,ascination,ommunity,ifestyle,heCreator,heRuler,heSage,ulture,cience,ntrustworthy,lectric,nwirksam,bove,ndulgent,eapon,asic,restrictive,argain,elow
success,1.0,0.07443243608229128,0.0614123265174414,0.05895522231185847,0.05807039130564244,0.0554406828238686,0.05496061266468338,0.0547499815436934,0.053827797789099775,0.05245221557633333,0.04958542146884357,-0.01841371270612163,-0.019419248113514365,-0.019781912188397973,-0.020618396293648054,-0.024083663829929526,-0.024358596370972454,-0.030099151360641486,-0.03726448229426553,-0.03955880778083695,-0.0463153044101975
eaching,0.07443243608229128,1.0,0.5232945601647647,0.6278304828076081,0.6901807839238461,0.7577038810672413,0.8002541632254703,0.6825163721216273,0.8457541378775875,0.6261234680958292,0.7466893210123506,0.42169606832538065,0.12732206505050275,0.4983943280185489,0.4127237353273258,0.26421695980718357,-0.06807014228674535,0.10032408672831551,0.2104191452366312,-0.326113602268757,0.046435850293477
heRebel,0.0614123265174414,0.5232945601647647,1.0,0.6468379156826415,0.4344241898359116,0.6834361110258196,0.6659182258353471,0.5263618751538421,0.5140853039865255,0.540248923378423,0.3612594378704762,0.5031241605347985,-0.09898854110196086,0.4207979187970729,0.31067666050938175,0.3156226443995972,0.09917975492541718,0.254949089047075,0.1258203220251759,-0.414345428100224,-0.04138339826579472
ascination,0.05895522231185847,0.6278304828076081,0.6468379156826415,1.0,0.5080221534637203,0.6821283575646222,0.8252730415216104,0.46750204669115075,0.6351874350780955,0.7672909961479567,0.4948203138394873,0.33689017633518586,-0.08444016011041779,0.19373949787081027,0.16704581646517655,0.48128074129083126,-0.12730413774563165,0.22701890915978368,-0.07630523747150789,-0.2778336987912694,-0.12405617415294153
ommunity,0.05807039130564244,0.6901807839238461,0.4344241898359116,0.5080221534637203,1.0,0.645977196135803,0.6445354282681014,0.7109832115690995,0.7117648002964243,0.6669717528430895,0.4921493087461799,0.27348493475274127,0.05321378848448757,0.270323562185876,0.27644655911115945,0.038317860768689524,-0.2967661886984848,-0.06921852449604957,-0.041643710848438806,-0.23779342179095955,-0.12501055138792433
ifestyle,0.0554406828238686,0.7577038810672413,0.6834361110258196,0.6821283575646222,0.645977196135803,1.0,0.7690539683123412,0.5386133889691759,0.6125187987174079,0.7748755598556156,0.5024123053000132,0.4597676037492796,-0.040892799030140724,0.40099325235756694,0.37021418383216326,0.3791754705804344,0.02174657806467977,0.352401627200738,0.19129677611278414,-0.28569185389835167,-0.011905497039958501
heCreator,0.05496061266468338,0.8002541632254703,0.6659182258353471,0.8252730415216104,0.6445354282681014,0.7690539683123412,1.0,0.7261481913077354,0.7878243912794218,0.7474560827120816,0.710741686798861,0.40289304106042517,0.1965988183482888,0.4227087841512699,0.33012429358959594,0.46765173246542713,-0.014670225409558193,0.15117976106862732,0.18708759309732398,-0.3794891420991239,0.0286379780352308
heRuler,0.0547499815436934,0.6825163721216273,0.5263618751538421,0.46750204669115075,0.7109832115690995,0.5386133889691759,0.7261481913077354,1.0,0.8295253541759084,0.43720176582557446,0.6553111579482965,0.3870685757094717,0.24749796899719978,0.5313508481661092,0.3948231064688727,0.1396388690354269,-0.06404890276899801,-0.17244072216810605,0.19841089921452576,-0.30383237915166317,0.08163366139379685
heSage,0.053827797789099775,0.8457541378775875,0.5140853039865255,0.6351874350780955,0.7117648002964243,0.6125187987174079,0.7878243912794218,0.8295253541759084,1.0,0.5401278079159428,0.7644572054939803,0.4678057958809723,0.17563830873772762,0.523737669447757,0.4248556436450219,0.2032841864887124,-0.13021618589996173,-0.09447540873332778,0.18378725651275932,-0.37344258117855317,0.07324323474155493
ulture,0.05245221557633333,0.6261234680958292,0.540248923378423,0.7672909961479567,0.6669717528430895,0.7748755598556156,0.7474560827120816,0.43720176582557446,0.5401278079159428,1.0,0.48793903133451555,0.17065104721703112,-0.08485643270288248,-0.009860597792831086,0.052941614925628676,0.2952035672480069,-0.22942599835547134,0.24999851730825381,-0.2346931222604768,-0.21271226895130388,-0.29251225063331376
cience,0.04958542146884357,0.7466893210123506,0.3612594378704762,0.4948203138394873,0.4921493087461799,0.5024123053000132,0.710741686798861,0.6553111579482965,0.7644572054939803,0.48793903133451555,1.0,0.23200134558907873,0.5021902614546908,0.40828031933884346,0.24752942000840109,0.17410790541661866,-0.013084672984597229,-0.04228794944692251,0.2521262187942642,-0.33624954679136004,0.06443593894272803
ntrustworthy,-0.01841371270612163,0.42169606832538065,0.5031241605347985,0.33689017633518586,0.27348493475274127,0.4597676037492796,0.40289304106042517,0.3870685757094717,0.4678057958809723,0.17065104721703112,0.23200134558907873,1.0,0.07119524606347667,0.7045383771587634,0.7608526464017785,0.40888455788030487,0.23219479883204794,0.27284479254446287,0.48000113079494394,-0.21109794717553762,0.5345138406503711
lectric,-0.019419248113514365,0.12732206505050275,-0.09898854110196086,-0.08444016011041779,0.05321378848448757,-0.040892799030140724,0.1965988183482888,0.24749796899719978,0.17563830873772762,-0.08485643270288248,0.5021902614546908,0.07119524606347667,1.0,0.2697273472210197,0.13940779702269646,0.1318015509278123,0.1489473956930872,-0.09401776424351259,0.4138394289295111,-0.12737537118652215,0.2695769659910959
nwirksam,-0.019781912188397973,0.4983943280185489,0.4207979187970729,0.19373949787081027,0.270323562185876,0.40099325235756694,0.4227087841512699,0.5313508481661092,0.523737669447757,-0.009860597792831086,0.40828031933884346,0.7045383771587634,0.2697273472210197,1.0,0.786939433795912,0.3801083821810631,0.3232928067684762,0.1470098406334017,0.7629464737607458,-0.1809129154156687,0.6185482418628666
bove,-0.020618396293648054,0.4127237353273258,0.31067666050938175,0.16704581646517655,0.27644655911115945,0.37021418383216326,0.33012429358959594,0.3948231064688727,0.4248556436450219,0.052941614925628676,0.24752942000840109,0.7608526464017785,0.13940779702269646,0.786939433795912,1.0,0.40888388305654244,0.35073382136272796,0.21982055750344098,0.6132795202580921,-0.1481577331405204,0.7992484281929016
ndulgent,-0.024083663829929526,0.26421695980718357,0.3156226443995972,0.48128074129083126,0.038317860768689524,0.3791754705804344,0.46765173246542713,0.1396388690354269,0.2032841864887124,0.2952035672480069,0.17410790541661866,0.40888455788030487,0.1318015509278123,0.3801083821810631,0.40888388305654244,1.0,0.332694762808298,0.6371991425103729,0.4422240989683849,-0.016569624274890296,0.41357743415374476
eapon,-0.024358596370972454,-0.06807014228674535,0.09917975492541718,-0.12730413774563165,-0.2967661886984848,0.02174657806467977,-0.014670225409558193,-0.06404890276899801,-0.13021618589996173,-0.22942599835547134,-0.013084672984597229,0.23219479883204794,0.1489473956930872,0.3232928067684762,0.35073382136272796,0.332694762808298,1.0,0.3630005618877828,0.467876864324725,-0.03976772149587065,0.4589417541628044
asic,-0.030099151360641486,0.10032408672831551,0.254949089047075,0.22701890915978368,-0.06921852449604957,0.352401627200738,0.15117976106862732,-0.17244072216810605,-0.09447540873332778,0.24999851730825381,-0.04228794944692251,0.27284479254446287,-0.09401776424351259,0.1470098406334017,0.21982055750344098,0.6371991425103729,0.3630005618877828,1.0,0.3075980759470568,-0.0005136591006282338,0.18071782722776553
restrictive,-0.03726448229426553,0.2104191452366312,0.1258203220251759,-0.07630523747150789,-0.041643710848438806,0.19129677611278414,0.18708759309732398,0.19841089921452576,0.18378725651275932,-0.2346931222604768,0.2521262187942642,0.48000113079494394,0.4138394289295111,0.7629464737607458,0.6132795202580921,0.4422240989683849,0.467876864324725,0.3075980759470568,1.0,-0.1299720495116852,0.6796001951015677
argain,-0.03955880778083695,-0.326113602268757,-0.414345428100224,-0.2778336987912694,-0.23779342179095955,-0.28569185389835167,-0.3794891420991239,-0.30383237915166317,-0.37344258117855317,-0.21271226895130388,-0.33624954679136004,-0.21109794717553762,-0.12737537118652215,-0.1809129154156687,-0.1481577331405204,-0.016569624274890296,-0.03976772149587065,-0.0005136591006282338,-0.1299720495116852,1.0,-0.010717616493580006
elow,-0.0463153044101975,0.046435850293477,-0.04138339826579472,-0.12405617415294153,-0.12501055138792433,-0.011905497039958501,0.0286379780352308,0.08163366139379685,0.07324323474155493,-0.29251225063331376,0.06443593894272803,0.5345138406503711,0.2695769659910959,0.6185482418628666,0.7992484281929016,0.41357743415374476,0.4589417541628044,0.18071782722776553,0.6796001951015677,-0.010717616493580006,1.0
